type,id,en_description,fi_description
Word,w15,AFP levels,AFP-tasot
Word,w15,AND/OR,JA/TAI
Word,w33,Abdominal pain,vatsakipu
Word,w3,Ablation Techniques,ablaatiotekniikat
Word,w5,Abortion,abortti
Word,w7,Acinar,epiteelisoluryhmä
Word,w16,Acute hepatitis,akuutti maksatulehdus
Word,w26,Adjuvant oxaliplatin,tehokas oksaliplatiini
Word,w10,Advanced age,korkea ikä
Word,w6,Aflibercept,injektio silmänpohjarappeumaan
Word,w6,Air pollution,ilmansaasteet
Word,w20,Alagille syndrome,Alagille-oireyhtymä 
Word,w1,Alcohol,alkoholi
Word,w1,Alpha-fetoprotein,sikiön proteiini
Word,w21,Analysis: Evaluation,analyysi: arviointi
Word,w13,Analysis: Follow-up,analyysi: seuranta
Word,w7,Anastrozole,anastrotsoli 
Word,w5,Anatomy,anatomia
Word,w15,Annual,vuosittainen
Word,w2,Anorexia,anoreksia
Word,w1,Anxiety,​ahdistuneisuus
Word,w2,Any,mikä tahansa
Word,w1,Aspirin,aspiriini
Word,w17,Associated Disorder,liittynyt häiriö
Word,w50,Atypical carcinoid,epätyypillinen syöpä
Word,w6,Authors,tekijät
Word,w12,Background,tausta
Word,w35,Barium Enema,bariumperäruiske 
Word,w2,Basal-like,perustan kaltainen
Word,w18,Basaloid,tyvisoluihin liittyvä
Word,w56,Basaloid carcinoma,tyvisolusyöpä
Word,w3,Beckwith-Wiedemann,Beckwith-Wiedemann
Word,w7,Benefits,hyödyt
Word,w24,Better tolerability,parempi siedettävyys
Word,w4,Bevacizumab,bevasitsumabi
Word,w8,Bias,puolueellisuus
Word,w1,Biennial,joka toinen vuosi
Word,w10,Bile acids,sappihapot
Word,w29,Biliary Obstruction,sappitiehyttukos
Word,w8,Bisphosphonates,bisfosfonaatit
Word,w47,Breast Reconstruction,rinnan korjaus
Word,w16,Breast Self-examination,​rinnan itsetutkinta
Word,w29,Breast reconstruction,rinnan korjaus
Word,w4,Breast-feeding,imetys
Word,w57,Bronchioloalveolar carcinoma,pienisoluinen keuhkosyöpä
Word,w20,Burkitt lymphoma,Burkittin imukudossyöpä
Word,w22,CT Colonography,paksusuolen CT-kuvantaminen
Word,w43,CT imaging,CT-kuvantaminen              
Word,w5,Calcium,kalsium
Word,w15,Calcium supplementation,kalsiumlisä
Word,w13,Capecitabine,kapesitabiini
Word,w1,Capecitabine,kapesitabiini
Word,w61,Carcinoid tumor,syöpäkasvain
Word,w12,Carcinosarcoma,pahanlaatuinen kasvain
Word,w25,Case-control studies,tapauskontrolloidut tutkimukset
Word,w2,Cataracts,kaihi
Word,w27,Cellular Classification,soluluokittelu
Word,w4,Cellular classification--legacy,soluluokittelu--perintö
Word,w24,Cellular classification--legacy,soluluokittelu--perintö
Word,w9,Cetuximab,setuksimabi    
Word,w3,Cetuximab,setuksimabi    
Word,w6,Chemoradiation alone,kemosäteilytys yksin
Word,w58,Chemoradiation therapy,kemosäteilytyshoito 
Word,w54,Chemotherapy risks,kemoterapian riskit
Word,w20,Chest pain,rintakipu
Word,w27,Chest x-ray,rinnan röntgenkuvaus
Word,w23,Chest x-ray,rinnan röntgenkuvaus
Word,w2,China,Kiina
Word,w46,Clear cell,selkeä solu
Word,w14,Clinical Consequences,kliiniset seuraukset
Word,w9,Clinical trials,kliiniset kokeet
Word,w16,Colonoscopy,paksusuolen tähystys
Word,w14,Combination chemotherapy,yhdistelmäkemoterapia
Word,w45,Combined LCNEC,yhdistetty LCNEC 
Word,w3,Computed Tomography,tietokonekuvantaminen
Word,w13,Consistency,johdonmukaisuus
Word,w13,Consistency: Consistent,johdonmukaisuus: johdonmukainen
Word,w7,Consistency: Fair,johdonmukaisuus: reilu
Word,w26,Consistency: Mixed,johdonmukaisuus: sekalainen
Word,w16,Consistency: N/A,johdonmukaisuus: ei käytettävissä oleva  
Word,w17,Contamination: None,saastuminen: ei mitään
Word,w42,Contralateral Disease,toispuoleinen sairaus
Word,w14,Control,valvonta
Word,w32,Cytotoxic chemotherapy,sytotoksinen kemoterapia
Word,w20,Cytoxan (mg/m²),cytoxan（mg/m²）                   
Word,w2,C—Caudate,C-muotoinen hermosolukokoelma
Word,w3,"Deaths: 10,990","kuolemat：10,990"
Word,w4,"Deaths: 15,210","kuolemat：15,210"
Word,w40,"Deaths: 159,260","kuolemat：159,260"
Word,w17,"Deaths: 159,260","kuolemat：159,260"
Word,w35,"Deaths: 40,430","​kuolemat：40,430"
Word,w4,Deaths: 410,kuolemat：410
Word,w8,Denmark,Tanska
Word,w2,Description,kuvaus
Word,w8,Description,kuvaus
Word,w6,Diagnostic imaging,diagnostinen kuvantaminen
Word,w1,Diet,ruokavalio
Word,w11,Diet modification,ruokavalion muokkaus
Word,w2,Dietary supplements,ruokavaliolisät
Word,w2,Diffuse,epätarkkarajainen
Word,w27,Digital Mammography,digitaalinen mammografia
Word,w2,Disclaimer,​vastuuvapauslauseke
Word,w4,Discomfort,​epämukavuus
Word,w3,Distant Metastases,etäiset etäpesäkkeet
Word,w27,Dose-dense AC-T,annostiheä AC-T
Word,w8,Dose/Trial Drug,annos/koelääke
Word,w33,Doxorubicin (mg/m²),doksorubisiini（mg/m²）     
Word,w9,Dyspareunia,kivulias yhdyntä
Word,w1,Dysplasia,dysplasia
Word,w14,Dyspnea,hengitysvaikeus
Word,w19,Early pregnancy,varhainen raskaus
Word,w15,Elderly women,iäkkäät naiset
Word,w44,Endobronchial therapies,keuhkotutkimushoidot
Word,w10,Endogenous estrogen,endogeeninen estrogeeni
Word,w16,Environmental factors,ympäristötekijät
Word,w12,Epidemiology,epidemiologia
Word,w32,Epithelial Tumors,epiteelikasvaimet
Word,w16,Epithelioid Hemangioendothelioma,solukudoskasvain
Word,w12,Estrogen-only therapy,vain estrogeenihoito
Word,w25,Evidence (PCI):,todiste (perkutaaninen sepelvaltimointerventio):                                   
Word,w19,Evidence (bevacizumab):,todiste (bevasitsumabi):          
Word,w14,Evidence (capecitabine):,todiste (kapesitabiini):                       
Word,w25,Evidence (cetuximab):,todiste (setuksimabi):            
Word,w16,Evidence (irinotecan):,todiste (irinotekaani):            
Word,w10,Evidence (oxaliplatin):,todiste (oksaliplatiini):           
Word,w17,Evidence (panitumumab):,todiste (panitumumabi):             
Word,w53,Evidence (surgery):,todiste (leikkaus):
Word,w11,Evidence (topotecan):,todiste (topotekaani):             
Word,w14,Exemestane,antineoplastinen lääke                                   
Word,w3,Exercise,liikunta
Word,w8,Extensive-Stage Disease,laaja-asteinen sairaus
Word,w36,External Validity,ulkoinen oikeellisuus
Word,w30,E—Extrahepatic contiguous,maksan ulkopuolinen syöpä
Word,w51,FDG-PET scanning,FDG-PET-skannaus             
Word,w27,FOBT/ Sigmoidoscopy,FOBT/sigmasuolen tähystys     
Word,w19,Facility Characteristics,laitteiston ominaisuudet
Word,w5,Fair,reilu
Word,w12,Familial polyposis,perheellinen suolistosairaus
Word,w9,Family history,perhehistoria
Word,w23,Favor Raloxifene,suosi raloksifeenia
Word,w22,Favor Tamoxifen,suosi tamoksifeenia                
Word,w8,Fenretinide,fenretinidi                             
Word,w24,Fibrolamellar carcinoma,fibrolamellaarinen syöpä
Word,w3,Find Publications,etsi julkaisuja
Word,w30,Fluorouracil (5-FU),fluorourasiili (5-FU) 
Word,w1,Food,ruoka
Word,w1,Gastric endoscopy,vatsaendoskooppi
Word,w46,Gastrointestinal Complications,ruoansulatuskanavan komplikaatiot
Word,w23,Gastrointestinal bleeding,​ruoansulatuskanavan verenvuoto
Word,w26,General Information,yleistieto
Word,w13,Genetic mutations,perinnölliset mutaatiot
Word,w11,Good,hyvä
Word,w1,Grade,aste
Word,w17,Gynecologic problems,gynekologiset ongelmat
Word,w13,HER2+,ihmisen epidermaalisen kasvutekijän reseptori 2+      
Word,w9,Harms,​​vahingot
Word,w2,Hepatic Ultrasound,maksan ultraäänitutkimus
Word,w7,Hepatitis A,maksatulehdus A
Word,w9,Hepatitis B,maksatulehdus B
Word,w12,Hepatitis C,maksatulehdus C
Word,w18,Hepatitis D,maksatulehdus D
Word,w6,Hepatitis E,maksatulehdus E
Word,w11,Hepatitis F,maksatulehdus F
Word,w5,Hepatitis G,maksatulehdus G
Word,w4,Hepatoblastoma,maksakasvain
Word,w7,Hepatocellular Carcinoma,maksasolusyöpä
Word,w19,High Risk,korkea riski
Word,w5,High-grade dysplasia,korkea-asteinen epänormaali solukasvu
Word,w11,Histology,mikroskooppitutkimus
Word,w15,Hoarseness,karheaäänisyys
Word,w3,Hoarseness,karheaäänisyys
Word,w19,Hyperplasia,liikakasvu
Word,w52,IB NSCLC,IB ei-pienisoluinen keuhkosyöpä  
Word,w55,IIB NSCLC,IIB ei-pienisoluinen keuhkosyöpä  
Word,w12,Ill-defined borders,epämääräiset rajat
Word,w16,Illustration,kuvitus
Word,w7,Illustration,kuvitus
Word,w30,Immunochemical FOBT,immunokemiallinen FOBT
Word,w2,Indication,indikaatio
Word,w51,Inflammatory carcinoma,tulehdusperäinen syöpä
Word,w31,Intermediate Risk,keskitasoinen riski
Word,w19,Internal Validity,sisäinen oikeellisuus
Word,w22,International Comparisons,​kansainväliset vertailut
Word,w18,Interval cancers,syöpien aikavälit
Word,w1,Intestinal,suolisto
Word,w5,Intestinal metaplasia,suoliston kudosmuutos
Word,w27,Intestinal obstruction,​suoliston tukos
Word,w21,Intra-arterial chemotherapy,valtimonsisäinen kemoterapia
Word,w5,Introduction,johdanto
Word,w25,Ionizing radiation,ionisoiva säteilytys
Word,w8,Irinotecan,irinotekaani                                
Word,w17,Kaposi sarcoma,Kaposi-sarkooma    
Word,w10,LCNEC,suurisoluinen neuroendokriininen syöpä   
Word,w9,Lapatinib,lapatinibi                  
Word,w12,Leg cramps,jalkakrampit
Word,w6,Leiomyoma,lihaskasvain
Word,w10,Leiomyosarcoma,lihassyöpä
Word,w27,Limited-Stage Disease,rajoitetun vaiheen sairaus 
Word,w1,Lipoma,rasvapatti
Word,w8,Liver Transplantation,maksansiirto
Word,w9,Liver biopsy,maksan tutkimuskoepalan otto
Word,w29,Liver metastases,​maksan etäpesäkkeet
Word,w24,Lobular histology,rauhasperäisen rintasyövän ​mikroskooppitutkimus
Word,w22,Local ablation,paikallinen poistoleikkaus
Word,w36,Local-regional treatment,paikallis-alueellinen hoito
Word,w39,Low Risk,matala riski
Word,w25,Low-birth-weight infants,lasten alhainen syntymäpaino 
Word,w10,"Lower, X","alhaisempi, X"                               
Word,w41,Luminal A,rintasyöpätyyppi A
Word,w40,Luminal B,rintasyöpätyyppi B
Word,w22,Lymph nodes,imusolmukkeet
Word,w10,Lymphedema,imunesteturvotus
Word,w23,Lymphoepithelioma-like carcinoma,lymfoepiteliooman kaltainen syöpä
Word,w32,Lymphovascular invasion,imusolujen kasvainsolujen invaasio 
Word,w49,M1 (distant),etäinen etäpesäke (etäinen)                                   
Word,w4,Male gender,miessukupuoli
Word,w3,Mediterranean,Välimeri
Word,w21,Medullary carcinoma,kilpirauhassyöpä
Word,w2,Melanoma,melanooma
Word,w21,Melanoma Treatment,melanooman hoito
Word,w3,Men,miehet
Word,w13,Metaplasia,solukorvautuminen 
Word,w1,Micrometastases,mikroetäpesäkkeet
Word,w9,Minnesota,Minnesota
Word,w20,Molecular Features,molekyyliset ominaisuudet
Word,w44,Monoclonal antibodies,monoklonaaliset vasta-aineet 
Word,w2,Mucinous,limainen
Word,w19,Mucinous adenocarcinoma,limainen rauhassyöpä
Word,w41,Mucinous cystadenocarcinoma,limainen rintarauhassyöpä
Word,w62,Mucoepidermoid carcinoma,sylkirauhassyöpä
Word,w14,Musculoskeletal problems,tuki- ja liikuntaelinten ongelmat 
Word,w28,M—Distant metastatic,etäinen etäpesäke                         
Word,w59,Neoadjuvant therapy,uusi hoidon tehokkuutta parantava hoito
Word,w33,Neuroendocrine tumors,hermossolukasvaimet
Word,w16,Neurologic sequelae,hermostollinen jälkivaikutus
Word,w32,No effect,ei vaikutusta
Word,w33,No metastases,ei etäpesäkkeitä
Word,w25,Nonepithelial Tumors,ei-kalvomaiset solukudoskasvaimet
Word,w3,Nonmucinous,ei-limainen 
Word,w47,Nonsquamous histology,ei-kerroksinen mikroskooppitutkimus 
Word,w17,Normal,normaali
Word,w17,Northern Europe,Pohjois-Eurooppa
Word,w38,Occult NSCLC,selittämätön ei-pienisoluinen keuhkosyöpä   
Word,w60,Occult carcinoma,selittämätön syöpä
Word,w18,Oral contraceptives, suun kautta otettavat ehkäisyvalmisteet
Word,w2,Orchiectomy,kiveksen poistoleikkaus
Word,w6,Other regimens,muut hoito-ohjelmat
Word,w1,Overdiagnosis,ylidiagnoosi
Word,w10,Overdiagnosis,ylidiagnoosi
Word,w2,Overview,yleiskatsaus
Word,w3,Oxaliplatin,oksaliplatiini                  
Word,w4,Oxaliplatin,oksaliplatiini                     
Word,w8,PRETEXT designations,esihoidon laajuuteen liittyvät määritelmät
Word,w11,PRETEXT stage,esihoidon vaihe
Word,w5,Paclitaxel,paklitakseli      
Word,w22,Paclitaxel/Docetaxel (mg/m²),paklitakseli/doketakseli (mg/m²)   
Word,w28,Palliative chemoradiation,palliatiivinen kemosäteilytys 
Word,w20,Palliative chemotherapy,palliatiivinen kemoterapia
Word,w31,Palliative chemotherapy,palliatiivinen kemoterapia
Word,w10,Palliative therapy,palliatiivinen hoito
Word,w52,Palpable tumors,tuntuvat kasvaimet
Word,w5,Panitumumab,panitumumabi                  
Word,w11,Panitumumab,panitumumabi                  
Word,w17,Papillary,nystyrä
Word,w18,Pathologic Classification,patologinen luokittelu
Word,w5,Pathology,patologia
Word,w25,Patient Characteristics,potilaan ominaisuudet
Word,w50,Patient Evaluation,potilasarviointi
Word,w45,Patient Group,potilasryhmä
Word,w21,Performance status,toimintakyky
Word,w7,Perioperative chemotherapy,leikkauksen aikainen kemoterapia
Word,w11,Pernicious anemia,vahingollinen anemia
Word,w11,Pertuzumab,pertutsumabi      
Word,w37,Phyllodes tumor,rinnan kasvain
Word,w9,Physical activity,fyysinen aktiivisuus
Word,w5,Physical activity,fyysinen aktiivisuus
Word,w26,Physician Characteristics,lääkärin ominaisuudet
Word,w14,Polyp removal,polyypin poisto
Word,w6,Poor,heikko
Word,w18,Population Size,väestön koko
Word,w7,Population-level interventions,väestötason väliintulot
Word,w6,Postmastectomy,rinnan poistoleikkauksen jälkeinen
Word,w8,Postoperative chemotherapy,leikkauksen jälkeinen kemoterapia
Word,w34,Postsurgical chemotherapy,leikkauksen jälkeinen kemoterapia                              ?
Word,w38,Posttreatment ypN,hoidon jälkeinen ypN 
Word,w21,Presurgical chemotherapy,leikkausta edeltävä kemoterapia 
Word,w25,Primary Therapy,ensisijainen hoito
Word,w34,Primary lymphoma,ensisijainen imukudossyöpä
Word,w28,Primary therapy,ensisijainen hoito
Word,w1,Progesterone,keltarauhashormoni
Word,w1,Prognosis,ennuste
Word,w2,Prognosis--legacy,ennuste--perintö
Word,w4,Prognosis:,ennuste：
Word,w24,Prophylactic mastectomy,ennaltaehkäisevä rinnan poisto 
Word,w11,Prophylactic oophorectomy,ennaltaehkäisevä munasarjan poisto 
Word,w54,Pulmonary blastoma,keuhkokasvain
Word,w4,RCTs,satunnaistetut kontrolloidut tutkimukset   
Word,w2,Race,rotu
Word,w20,Radiation Exposure,​säteilytysalttius
Word,w9,Radical surgery,laaja-alainen leikkaus
Word,w6,Radiosensitizers,säteilyherkistysaineet 
Word,w1,Radon,radon
Word,w3,Radon exposure,radonille altistuminen 
Word,w7,Raloxifene,raloksifeeni
Word,w9,Recurrent Hepatoblastoma,uusiutuva maksakasvain
Word,w29,Recurrent NSCLC,uusiutuva ei-pienisoluinen keuhkosyöpä   
Word,w9,Recurrent disease,uusiutuva sairaus
Word,w16,Regimen,hoito-ohjelma
Word,w4,Region,alue
Word,w34,Rehydrated: 5.8%,nesteytetty：5.8%
Word,w33,Rehydrated: 9.8%,nesteytetty：9.8%
Word,w34,Resection margins,poistoleikkauksen reunat
Word,w3,Risk,riski
Word,w22,Scant cytoplasm,vähäinen solukalvoplasma
Word,w23,Scirrhous tumors,hidaskasvuiset kasvaimet
Word,w12,Screened,seulottu
Word,w23,Screening Intervention,seulontatoimenpide
Word,w18,Second-line chemotherapy,toislinjainen kemoterapia
Word,w5,Sensitivity,herkkyys
Word,w14,Serrated,sahalaitainen
Word,w2,Serum pepsinogen,seerumin pepsinogeeni
Word,w7,Sigmoidoscopy,paksusuolen tutkimusendoskooppi   
Word,w3,Site,sivusto
Word,w25,Small cell,pieni solu
Word,w4,Smoking avoidance,tupakoinnin välttäminen
