type,id,en_description,ur_description
Word,w15,AFP levels,اے ایف پی کی سطحیں
Word,w15,AND/OR,اور/یا
Word,w33,Abdominal pain,پیٹ درد
Word,w3,Ablation Techniques,مٹانے کے طریقے
Word,w5,Abortion,اسقاط حمل
Word,w7,Acinar,غدود نما
Word,w16,Acute hepatitis,تیز جگر کی سوزش
Word,w26,Adjuvant oxaliplatin,مددگار آکسیلپلاٹین
Word,w10,Advanced age,عمر رسیدگی
Word,w6,Aflibercept,افلیبرسپٹ
Word,w6,Air pollution,فضائی آلودگی
Word,w20,Alagille syndrome,الجیل سنڈروم
Word,w1,Alcohol,شراب
Word,w1,Alpha-fetoprotein,الفا فیٹو پروٹین
Word,w21,Analysis: Evaluation,تجزیہ: تشخیص  
Word,w13,Analysis: Follow-up,تجزیہ: پیروی
Word,w7,Anastrozole,اناسٹروزول (دوا)  
Word,w5,Anatomy,تشریح الاعضا  
Word,w15,Annual,سالانہ  
Word,w2,Anorexia,بھوک کی کمی  
Word,w1,Anxiety,بے چینی / اضطراب  
Word,w2,Any,کوئی  
Word,w1,Aspirin,اسپرین  
Word,w17,Associated Disorder,متعلقہ عارضہ  
Word,w50,Atypical carcinoid,غیر معمولی کارسینوائڈ  
Word,w6,Authors,مصنفین  
Word,w12,Background,پس منظر
Word,w35,Barium Enema,بیریم انیمہ (ٹیسٹ)
Word,w2,Basal-like,بنیادی نوعیت کا  
Word,w18,Basaloid,خلیاتی ساخت  
Word,w56,Basaloid carcinoma,بیسلوئڈ کارسینوما (سرطان کی قسم)  
Word,w3,Beckwith-Wiedemann,بیکوتھ وائیڈمین سنڈروم (جینیٹک عارضہ)  
Word,w7,Benefits,فوائد  
Word,w24,Better tolerability,بہتر برداشت (علاج)  
Word,w4,Bevacizumab,بیواسيزوماب (اینٹی سرطان دوا)  
Word,w8,Bias,تعصب (تحقیقی تناظر میں)
Word,w1,Biennial,دو سالہ  
Word,w10,Bile acids,بائل ایسڈز (صفرا کا جز)  
Word,w29,Biliary Obstruction,بلیئری رکاوٹ (پت کی نالی)  
Word,w8,Bisphosphonates,بسفوسفونیٹس (دوا)  
Word,w47,Breast Reconstruction,بریسٹ ری کنسٹرکشن (سرجری)  
Word,w16,Breast Self-examination,چھاتی کا خود معائنہ  
Word,w29,Breast reconstruction,بریسٹ ری کنسٹرکشن (سرجری)  
Word,w4,Breast-feeding,دودھ پلانا  
Word,w57,Bronchioloalveolar carcinoma,برونکائیولوا لیولر کارسنوما
Word,w20,Burkitt lymphoma,برکِٹ لیمفوما
Word,w22,CT Colonography,تصویری تشخیص
Word,w43,CT imaging,تصویری تشخیص
Word,w5,Calcium,کیلشیم
Word,w15,Calcium supplementation,کیلشیم کی فراہمی
Word,w13,Capecitabine,کیپیسیٹابین
Word,w1,Capecitabine,کیپیسیٹابین
Word,w61,Carcinoid tumor,کرسینوئڈ رسولی
Word,w12,Carcinosarcoma,کارسینو سارکومہ
Word,w25,Case-control studies,کیس-کنٹرول مطالعے
Word,w2,Cataracts,موہریہ
Word,w27,Cellular Classification,خلیاتی درجہ بندی
Word,w4,Cellular classification--legacy,خلیاتی درجہ بندی - ورثہ
Word,w24,Cellular classification--legacy,خلیاتی درجہ بندی - ورثہ
Word,w9,Cetuximab,سیٹکسماب
Word,w3,Cetuximab,سیٹکسماب
Word,w6,Chemoradiation alone,کیمیائی ریڈی ایشن اکیلے
Word,w58,Chemoradiation therapy,کیمیائی اور تابکاری علاج
Word,w54,Chemotherapy risks,کیمیائی علاج کے خطرات
Word,w20,Chest pain,سینے کا درد
Word,w27,Chest x-ray,سینے کا ایکس رے
Word,w23,Chest x-ray,سینے کا ایکس رے
Word,w2,China,چین
Word,w46,Clear cell,صاف خلیہ
Word,w14,Clinical Consequences,طبی نتائج
Word,w9,Clinical trials,طبی تجربات
Word,w16,Colonoscopy,طبی معائنۂ قولون
Word,w14,Combination chemotherapy,مجموعی کیمیائی علاج
Word,w45,Combined LCNEC,مشترکہ بڑے خلیاتی نیورو اینڈوکرائن کارسینوما
Word,w3,Computed Tomography,مخطط شدہ طبقی تصویری
Word,w13,Consistency,یکسانیت
Word,w13,Consistency: Consistent, استحکام: یکسانیت
Word,w7,Consistency: Fair, درمیانی یکسانیت
Word,w26,Consistency: Mixed,غیر یکساں یکسانیت
Word,w16,Consistency: N/A,استحکام: قابل اطلاق نہیں
Word,w17,Contamination: None,آلودگی: کوئی نہیں
Word,w42,Contralateral Disease,مخالف طرفی بیماری
Word,w14,Control,قابو 
Word,w32,Cytotoxic chemotherapy,خلیاتی زہریلا کیمیائی علاج
Word,w20,Cytoxan (mg/m²),سائٹوکسین (mg/m²)
Word,w2,C—Caudate,سی—ذیلی دماغی حصہ
Word,w3,"Deaths: 10,990","اموات: 10,990"
Word,w4,"Deaths: 15,210","اموات: 15,210"
Word,w40,"Deaths: 159,260","اموات: 159,260"
Word,w17,"Deaths: 159,260","اموات: 159,260"
Word,w35,"Deaths: 40,430","اموات: 40,430"
Word,w4,Deaths: 410,4اموات: 10
Word,w8,Denmark,ڈنمارک
Word,w2,Description,تفصیل
Word,w8,Description,تفصیل
Word,w6,Diagnostic imaging,تشخیصی امیجنگ
Word,w1,Diet,غذا
Word,w11,Diet modification,غذائی ترمیم
Word,w2,Dietary supplements,غذائی تکمیلات
Word,w2,Diffuse,منتشر
Word,w27,Digital Mammography,ڈیجیٹل میموگرافی
Word,w2,Disclaimer,دستبرداری
Word,w4,Discomfort,تکلیف
Word,w3,Distant Metastases,دور دراز میٹاسٹیسیس
Word,w27,Dose-dense AC-T,AC-T خوراک-گاڑھی 
Word,w8,Dose/Trial Drug,خوراک/آزمائشی دوا
Word,w33,Doxorubicin (mg/m²),ڈوکسوروبیسن (mg/m²)
Word,w9,Dyspareunia,ڈیسپیرونیا
Word,w1,Dysplasia,ڈسپلیسیا
Word,w14,Dyspnea,ڈسپنیا
Word,w19,Early pregnancy,ابتدائی حمل
Word,w15,Elderly women,معمر خواتین
Word,w44,Endobronchial therapies,انڈوبرونکیل علاج
Word,w10,Endogenous estrogen,اندونی ایسٹروجن
Word,w16,Environmental factors,ماحولیاتی عوامل
Word,w12,Epidemiology,وبائیات
Word,w32,Epithelial Tumors,اپتھیلیل رسولیاں
Word,w16,Epithelioid Hemangioendothelioma,اپتھیلیوئڈ ہیمینجیواینڈوتھیلیوما
Word,w12,Estrogen-only therapy,صرف ایسٹروجن علاج
Word,w25,Evidence (PCI):,شواہد (PCI)
Word,w19,Evidence (bevacizumab):,شواہد (بیواسیزوماب)
Word,w14,Evidence (capecitabine):,شواہد (کیپسیٹابین)
Word,w25,Evidence (cetuximab):,شواہد (سیٹکسماب):  
Word,w16,Evidence (irinotecan):,شواہد (آئرینوٹیکن):  
Word,w10,Evidence (oxaliplatin):,شواہد (آکسیلی پلاٹینم):  
Word,w17,Evidence (panitumumab):,شواہد (پینیٹوموماب):  
Word,w53,Evidence (surgery):,شواہد (جراحی):  
Word,w11,Evidence (topotecan):,شواہد (ٹوپوٹیکن):  
Word,w14,Exemestane,ایکسیمسٹین  
Word,w3,Exercise,ورزش  
Word,w8,Extensive-Stage Disease,وسیع مرحلے کی بیماری  
Word,w36,External Validity,خارجی توثیق  
Word,w30,E—Extrahepatic contiguous,ای—جگر سے باہر متصل  
Word,w51,FDG-PET scanning,ایف ڈی جی-پی ای ٹی اسکیننگ  
Word,w27,FOBT/ Sigmoidoscopy,ایف او بی ٹی/ سگموئیڈوسکوپی  
Word,w19,Facility Characteristics,سہولیات کی خصوصیات  
Word,w5,Fair,منصفانہ  
Word,w12,Familial polyposis,خاندانی پولیپوسس  
Word,w9,Family history,خاندانی تاریخ  
Word,w23,Favor Raloxifene,رالوکسفین کو ترجیح  
Word,w22,Favor Tamoxifen,ٹاموکسفین کو ترجیح  
Word,w8,Fenretinide,فینریٹینائیڈ  
Word,w24,Fibrolamellar carcinoma,فائبرولیمیلر کارسینوما  
Word,w3,Find Publications,اشاعتیں تلاش کریں  
Word,w30,Fluorouracil (5-FU),فلوروراسل (5-ایف یو)  
Word,w1,Food,خوراک  
Word,w1,Gastric endoscopy,معدہ اینڈوسکوپی  
Word,w46,Gastrointestinal Complications,معدہ و آنت کی پیچیدگیاں  
Word,w23,Gastrointestinal bleeding,معدہ و آنت سے خون بہنا  
Word,w26,General Information,عمومی معلومات  
Word,w13,Genetic mutations,جینیاتی میوٹیشنز  
Word,w11,Good,اچھا  
Word,w1,Grade,گریڈ  
Word,w17,Gynecologic problems,نسوانی امراض کے مسائل  
Word,w13,HER2+,ایچ ای آر 2+ (HER2 پازیٹو)  
Word,w9,Harms,نقصانات  
Word,w2,Hepatic Ultrasound,جگر کا الٹراساؤنڈ  
