Type,id,en_description,fi_description
Phrase,p1,adjunct therapy or treatment,liitännäishoito tai hoito
Phrase,p2,adjuvant chemotherapy,hoidon tehokkuutta parantava kemoterapia
Phrase,p3,adjuvant radiation therapy,hoidon tehokkuutta parantava sädehoito
Phrase,p4,advance care planning,etukäteinen hoidon suunnittelu   
Phrase,p5,adverse effect,haitallinen vaikutus
Phrase,p6,allergic reaction,allerginen reaktio
Phrase,p7,allied health workers,liittoutuneet terveydenhuollon työntekijät
Phrase,p8,alternative therapy,vaihtoehtohoito
Phrase,p9,Androgen Deprivation Therapy,androgeenin vajaushoito 
Phrase,p10,barium enema,bariumperäruiske
Phrase,p11,blood count,verimäärä
Phrase,p12,booked admissions,varatut sisääntulot
Phrase,p13,bowel prep or bowel preparation,suolen valmistelu tai suolen valmistelu     
Phrase,p14,breakthrough pain,läpimurtokipu  
Phrase,p15,cancer imaging,syövän kuvantaminen              
Phrase,p16,cancer journey,syöpämatka
Phrase,p17,cancer of unknown primary origin,syövän tuntematon ensisijainen alkuperä              
Phrase,p18,cancer staging,syövän vaiheistus
Phrase,p19,cancer survivor,syövästä selviytynyt                                      
Phrase,p20,carcinoma in situ,alkuperäisessä kohteessa oleva syöpäsoluryhmä                        
Phrase,p21,"central line","keskilinja"
Phrase,p22,chemo brain,kemoaivot
Phrase,p23,chemotherapy,kemoterapia
Phrase,p24,chronic pain,krooninen kipu
Phrase,p25,clear margin,selkeä reuna
Phrase,p26,clinical trial,kliininen koe
Phrase,p27,colostomy bag,ulostepussi                                       
Phrase,p28,complementary therapy,täydennyshoito
Phrase,p29,CT scan,CT-skannaus
Phrase,p30,"diagnostic imaging (also called cancer imaging)","diagnostinen kuvantaminen (kutsutaan myös syövän kuvantamiseksi)"
Phrase,p31,digestive system,ruoansulatusjärjestelmä
Phrase,p32,DVT (deep vein thrombosis),syvä laskimotromboosi（syvä laskimotromboembolia）
Phrase,p33,enduring power of attorney medical (also called a MePOA),pysyvä lääketieteellinen valtakirja (kutsutaan myös MePOA:ksi)    
Phrase,p34,febrile neutropenia,kuumeinen neutropenia
Phrase,p35,gait aids,kävelyapuvälineet                                 
Phrase,p36,gastroenterology,ruoansulatuskanavan lääketiede 
Phrase,p37,general anaesthetic,yleispuudutus
Phrase,p38,germ cells,sukusolut
Phrase,p39,GP (general practitioner),GP（yleislääkäri）                                       
Phrase,p40,HDU (high dependency unit),HDU（korkean riippuvuuden yksikkö）                                     
