Type,id,en_description,ur_description
Phrase,p1,adjunct therapy or treatment,معاون علاج یا علاج
Phrase,p2,adjuvant chemotherapy,معاون کیمیائی علاج
Phrase,p3,adjuvant radiation therapy,معاون  تابکاری علاج
Phrase,p4,advance care planning,پیشگی دیکھ بھال کی منصوبہ بندی
Phrase,p5,adverse effect, منفی اثر
Phrase,p6,allergic reaction,الرجک ردِ عمل
Phrase,p7,allied health workers,معاون طبی کارکن
Phrase,p8,alternative therapy,متبادل علاج
Phrase,p9,Androgen Deprivation Therapy,مردانہ ہارمون کی روک تھام کا علاج
Phrase,p10,barium enema,بیریم اینیما
Phrase,p11,blood count,خون کی تعداد شمار 
Phrase,p12,booked admissions,داخلے طے کروائے گئے
Phrase,p13,bowel prep or bowel preparation,آنتوں کی تیاری یا آنتوں کی تیاری
Phrase,p14,breakthrough pain,پیش رفت درد
Phrase,p15,cancer imaging (also called diagnostic imaging),سرطان امیجنگ (جسے تشخیصی امیجنگ بھی کہا جاتا ہے)
Phrase,p16,cancer journey,سرطان کا سفر
Phrase,p17,cancer of unknown primary origin,نامعلوم بنیادی اصل کا سرطان
Phrase,p18,cancer staging,سرطان کی سٹیجنگ 
Phrase,p19,cancer survivor,سرطان سے بچ جانے والا 
Phrase,p20,carcinoma in situ,ابتدائی سرطان
Phrase,p21,central line,مرکزی لائن
Phrase,p22,chemo brain,کیمیائی دماغ 
Phrase,p23,chemotherapy,کیمیائی علاج
Phrase,p24,chronic pain, دائمی درد
Phrase,p25,clear margin,صاف حاشیہ
Phrase,p26,clinical trial,طبی آزمائش
Phrase,p27,colostomy bag,اخراج فضلہ کا تھیلا
Phrase,p28,complementary therapy,تکمیلی علاج
Phrase,p29,CT scan,سی ٹی اسکین
Phrase,p30,diagnostic imaging (also called cancer imaging),تشخیصی تصویری تکنیک (جسے سرطان امیجنگ بھی کہا جاتا ہے)
Phrase,p31,digestive system,نظام ہاضمہ
Phrase,p32,DVT (deep vein thrombosis),ڈی وی ٹی (گہری رگ میں خون کا لوتھڑا)
Phrase,p33,enduring power of attorney medical (also called a MePOA), (جسے MePOA بھی کہا جاتا ہے) طبی پاور آف اٹارنی 
Phrase,p34,febrile neutropenia,بخار کے ساتھ نیوٹروپینیا
Phrase,p35,gait aids,چلنے کے معاون آلات
Phrase,p36,gastroenterology,علمِ معدہ و آنت
Phrase,p37,general anaesthetic,مکمل بے ہوشی کی دوا
Phrase,p38,germ cells,جرثومی خلیات
Phrase,p39,GP (general practitioner),عام معالج
Phrase,p40,HDU (high dependency unit),اعلیٰ انحصاری یونٹ
Phrase,p41,"HMO (house medical officer, also called a ‘resident’)",ہاؤس میڈیکل افسر (ریزیڈنٹ)
Phrase,p42,Hodgkin’s lymphoma, ہاجکن کی بیماری
Phrase,p43,ICU (intensive care unit),انتہائی نگہداشت یونٹ
Phrase,p44,informed consent,مطلع شدہ رضامندی
Phrase,p45,informed consent form,مطلع شدہ رضامندی فارم
Phrase,p46,key hole surgery,چھوٹے سوراخ کی سرجری
Phrase,p47,laparoscopic surgery,لیپروسکوپک سرجری
Phrase,p48,local anaesthetic,مقامی بے ہوشی
Phrase,p49,lymph glands,لمفی غدود
Phrase,p50,lymph nodes,لمفی نوڈز
Phrase,p51,lymph system,لمفی نظام
Phrase,p52,lymph vessels,لمفی رگیں
Phrase,p53,lymphatic system,لمفیاتی نظام
Phrase,p54,magnetic resonance imaging,مقناطیسی گونج کی تصویری تشخیص
Phrase,p55,medical emergency team call,طبی ہنگامی ٹیم کی طلبی
Phrase,p56,medical enduring power of attorney,طبی پائیدار وکالت نامہ
Phrase,p57,medical oncologist,طبی سرطان کا ماہر
Phrase,p58,medical oncology,طبی سرطانیات
Phrase,p59,MET call,ایم ای ٹی کال
Phrase,p60,methicillin-resistant staphylococcus aureus,ایم آر ایس اے انفیکشن
Phrase,p61,multidisciplinary team,کثیر الشعبہ ٹیم
Phrase,p62,nasogastric tube,ناک معدہ نلی
Phrase,p63,neoadjuvant therapy,نئوایڈجوانٹ علاج
Phrase,p64,neoadjuvant treatment,نئوایڈجوانٹ علاج
Phrase,p65,Non-Hodgkin’s lymphoma,نان ہاجکنز لمفوما
Phrase,p66,nuclear medicine,جوہری طب
Phrase,p67,nurse unit manager,نرس یونٹ منیجر
Phrase,p68,pain and palliative care,درد اور تکمیلی نگہداشت
Phrase,p69,patient controlled analgesia,مریض کے زیر کنٹرول درد کم کرنے والی دوا
Phrase,p70,Pseudomyxoma peritonei,پسیوڈومیکسوما پیریٹونی
Phrase,p71,quality of life,زندگی کا معیار
Phrase,p72,radiation oncologist,تابکاری ماہر سرطان
Phrase,p73,radiation therapist,تابکاری معالج
Phrase,p74,radiation therapy,تابکاری علاج
Phrase,p75,radioactive tracer,تابکار نشان گر
Phrase,p76,recurrent cancer,دوبارہ ہونے والا سرطان
Phrase,p77,referral letter,حوالہ خط
Phrase,p78,robotic surgery,روبوٹک سرجری
Phrase,p79,SABR,سٹیریوٹیکٹک جسمانی تابکاری
Phrase,p80,secondary cancer,ثانوی سرطان
Phrase,p81,sentinel node,نگہبان نوڈ
Phrase,p82,sepsis pathway,سیپٹک راستہ
Phrase,p83,simulation for radiotherapy,تابکاری علاج کے لیے نقلی عمل
Phrase,p84,small bowel,چھوٹی آنت
Phrase,p85,small intestine,چھوٹی آنت
Phrase,p86,soft tissue,نرم بافت
Phrase,p87,soft tissues,نرم بافتیں
Phrase,p88,stage 0,مرحلہ 0
Phrase,p89,stage 1,مرحلہ 1
Phrase,p90,stage 2,مرحلہ 2
Phrase,p91,stage 3,مرحلہ 3
Phrase,p92,stage 4,مرحلہ 4
Phrase,p93,stage I,مرحلہ I
Phrase,p94,stage II,مرحلہ II
Phrase,p95,stage III,مرحلہ III
Phrase,p96,stage IV,مرحلہ IV
Phrase,p97,stereotactic ablative body radiation,انتہائی دقیق جسمانی شعاعی علاج
Phrase,p98,surgical margin,جراحی حاشیہ
Phrase,p99,surgical oncologist,جراحی سرطان کا ماہر
Phrase,p100,TED stockings,ٹی ای ڈی جرابیں
Phrase, p102, thrombo embolic deterrent,خون کے لوتھڑے بننے سے بچاؤ
Phrase, p103, tissue biopsy,بافتوں کا نمونہ لینے کا عمل
Phrase, p104, transrectal ultrasound,مقعد کے ذریعے الٹراساؤنڈ
Phrase, p105, transurethral resection of the prostate,پروسٹیٹ کی پیشابی نالی کے ذریعے جراحی
Phrase, p106, unknown primary origin,نامعلوم اصل کا سرطان
Phrase, p107, Vancomycin Resistant Enterococcus, وینکومائسن مزاحم اینٹروکوکس
Phrase, p108, video assisted thoracic surgery,ویڈیو اسسٹڈ تھوراسک سرجری
Phrase, p109, x-ray procedure, ایکس رے طریقہ کار
Word, w1, abdomen, پیٹ
Word, w2, acute, شدید
Word, w3, adenocarcinoma, غدودی سرطان
Word, w4, adenopathy, غدود کی سوجن
Word, w5, adt,مردانہ ہارمونی علاج
Word, w6, advanced, ترقی یافتہ
Word, w7, allergic, الرجک
