type,id,en_description,zh_description
Phrase,p1,adjunct therapy or treatment,辅助治疗
Phrase,p2,adjuvant chemotherapy,辅助化疗
Phrase,p3,adjuvant radiation therapy,辅助放射治疗
Phrase,p4,advance care planning,预先护理规划
Phrase,p5,adverse effect,不良影响
Phrase,p6,allergic reaction,过敏反应
Phrase,p7,allied health workers,专职医疗工作者
Phrase,p8,alternative therapy,替代疗法
Phrase,p9,Androgen Deprivation Therapy ,雄激素剥夺疗法
Phrase,p10,barium enema,钡剂灌肠
Phrase,p11,blood count,血细胞计数
Phrase,p12,booked admissions,预约入院
Phrase,p13,bowel prep or bowel preparation,排便准备
Phrase,p14,breakthrough pain,爆发性疼痛
Phrase,p15,"cancer imaging
(also called diagnostic imaging)","癌症成像
(又称诊断成像）"
Phrase,p16,cancer journey,抗癌历程
Phrase,p17,cancer of unknown primary origin,原发性不明癌症
Phrase,p18,cancer staging,癌症分期
Phrase,p19,cancer survivor,癌症康复者
Phrase,p20,carcinoma in situ,原位癌
Phrase,p21,"central line
",中心静脉
Phrase,p22,chemo brain,化疗脑
Phrase,p23,chemotherapy,化学疗法
Phrase,p24,chronic pain,慢性疼痛
Phrase,p25,clear margin,切缘清晰
Phrase,p26,clinical trial,临床试验
Phrase,p27,colostomy bag,结肠造口袋
Phrase,p28,complementary therapy,辅助疗法
Phrase,p29,CT scan,CT 扫描
Phrase,p30,"diagnostic imaging
(also called cancer imaging)","诊断成像
(又称癌症成像）"
Phrase,p31,digestive system,消化系统
Phrase,p32,DVT (deep vein thrombosis),深静脉血栓（DVT）
Phrase,p33,enduring power of attorney medical (also called a MePOA),医疗持久授权书（又称 MePOA)
Phrase,p34,febrile neutropenia,发热性中性粒细胞减少症
Phrase,p35,gait aids,步态辅助器
Phrase,p36,gastroenterology,胃肠病学
Phrase,p37,general anaesthetic,全身麻醉
Phrase,p38,germ cells,生殖细胞
Phrase,p39,GP (general practitioner),GP（全科医生）
Phrase,p40,HDU (high dependency unit),HDU （高依赖病房）
Phrase,p41,"HMO (house medical officer, also called a ‘resident’)",住院医师
Phrase,p42,"Hodgkin’s lymphoma
",霍奇金淋巴瘤
Phrase,p43,ICU (intensive care unit),ICU（重症监护室）
